"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","diff","ofs"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50176",650.0,"KG","E012210CHG00000042","2022-10-02 21:52:13",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",789.0,"KG","E012210CHG00000041","2022-10-02 14:36:44",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6202","RVMAX0863000012","VM6202V22012601AB50203",650.0,"KG","E012210CHG00000031","2022-10-02 08:59:22","RVMAX0863000012","2022-10-02 16:31:27","2022-10-03 16:28:34",1437,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","20220904-01",692.0,"KG","E012210CHG00000030","2022-10-01 21:18:05","R00000000000001","2022-10-02 02:10:04","2022-10-02 20:19:49",1089,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50136",650.0,"KG","E012210CHG00000029","2022-10-01 21:17:29","RVMAX0862000013","2022-10-02 16:35:28","2022-10-02 23:29:50",414,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50124",650.0,"KG","E012210CHG00000028","2022-10-01 21:17:20",NULL,NULL,NULL,NULL,NULL
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568306",900.0,"KG","E012210CHG00000027","2022-10-01 21:17:11","RSEBS0000000131","2022-10-02 22:26:03","2022-10-03 08:48:23",622,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568276",900.0,"KG","E012210CHG00000026","2022-10-01 21:17:03","RSEBS0000000131","2022-10-02 13:59:48","2022-10-02 22:24:34",504,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012210CHG00000025","2022-10-01 21:16:55","RAPPA0000000137","2022-10-04 06:18:59","2022-10-06 13:41:45",3322,"OFF-E0122/00361,OFF-E0122/00362"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012210CHG00000024","2022-10-01 21:16:32","RAAOX0000000138","2022-10-04 06:18:30","2022-10-06 13:41:52",3323,"OFF-E0122/00361,OFF-E0122/00362"
"Isolago Masterbatch Branco Isowhite L-75-0","RMWH00000000115","A221388",350.0,"KG","E012210CHG00000013","2022-10-01 19:08:15","RMWH00000000115","2022-10-03 14:53:03","2022-10-05 09:49:01",2575,"OFF-E0122/00366"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002571122",900.0,"KG","E012210CHG00000011","2022-10-01 10:26:59",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6202","RVMAX0863000012","VM6202V22012601AB50209",650.0,"KG","E012210CHG00000010","2022-10-01 10:18:33","RVMAX0863000012","2022-10-01 12:44:57","2022-10-02 16:29:56",1664,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",747.0,"KG","E012210CHG00000001","2022-10-01 09:20:17","R00000000000001","2022-10-01 12:12:56","2022-10-02 01:49:24",816,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568283",900.0,"KG","E012209CHG00000819","2022-09-30 22:31:36","RSEBS0000000131","2022-10-01 12:41:46","2022-10-02 00:33:59",712,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568238",900.0,"KG","E012209CHG00000818","2022-09-30 22:31:26","RSEBS0000000131","2022-10-01 00:41:25","2022-10-01 12:39:39",718,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50113",650.0,"KG","E012209CHG00000817","2022-09-30 22:31:00","RVMAX0862000013","2022-10-01 19:20:44","2022-10-02 00:23:51",303,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50167",650.0,"KG","E012209CHG00000816","2022-09-30 22:30:51","RVMAX0862000013","2022-10-01 05:33:32","2022-10-01 19:08:37",815,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Isolago Masterbatch Branco Isowhite L-75-0","RMWH00000000115","A221388",350.0,"KG","E012209CHG00000806","2022-09-30 20:42:34","RMWH00000000115","2022-10-01 15:34:52","2022-10-03 14:52:50",2837,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50101",650.0,"KG","E012209CHG00000802","2022-09-30 19:10:33","RVMAX0862000013","2022-09-30 23:35:33","2022-10-01 05:29:08",353,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002569907",900.0,"KG","E012209CHG00000801","2022-09-30 14:42:51","RSEBS0000000131","2022-09-30 17:26:17","2022-10-01 00:40:33",434,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22012601AB5020",650.0,"KG","E012209CHG00000793","2022-09-29 22:59:36","RVMAX0863000012","2022-09-30 13:05:25","2022-10-01 12:44:40",1419,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","20220902-02",796.0,"KG","E012209CHG00000792","2022-09-29 22:55:10","R00000000000001","2022-09-30 04:20:22","2022-10-01 12:12:34",1912,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000776","2022-09-29 14:26:34","RAAOX0000000138","2022-10-01 19:28:59","2022-10-04 06:17:43",3528,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000775","2022-09-29 14:24:04","RAPPA0000000137","2022-10-01 19:28:45","2022-10-04 06:18:16",3529,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",797.0,"KG","E012209CHG00000774","2022-09-29 12:04:13",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",797.0,"KG","E012209CHG00000773","2022-09-29 12:00:16",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","20220901-01",750.0,"KG","E012209CHG00000762","2022-09-28 22:42:19",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",770.0,"KG","E012209CHG00000761","2022-09-28 22:39:54","R00000000000001","2022-09-29 14:53:16","2022-09-30 04:18:17",805,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",765.0,"KG","E012209CHG00000760","2022-09-28 22:39:18",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",275.0,"KG","E012209CHG00000740","2022-09-28 15:20:51","RMWH00000000117","2022-09-30 02:05:46","2022-10-01 15:34:36",2248,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000739","2022-09-28 15:20:20","RPP620900000035","2022-10-04 15:41:35","2022-10-10 10:16:41",8315,"OFF-E0122/00361,OFF-E0122/00362"
"Reciclado Elastictek","R00000000000001","LO22070019",797.0,"KG","E012209CHG00000737","2022-09-28 13:30:39","R00000000000001","2022-09-28 19:57:57","2022-09-29 12:01:14",963,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",710.0,"KG","E012209CHG00000728","2022-09-27 22:50:30","R00000000000001","2022-09-28 02:30:58","2022-09-28 19:57:45",1046,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000721","2022-09-27 22:40:36","RPP620900000035","2022-09-28 17:10:56","2022-10-04 15:41:19",8550,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000696","2022-09-27 07:24:13","RAPPA0000000137","2022-09-29 12:45:10","2022-10-01 19:27:08",3281,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000695","2022-09-27 07:23:53","RAAOX0000000138","2022-09-29 12:44:50","2022-10-01 19:27:31",3282,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 19:42:00","2022-09-27 19:32:00",-10.0,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 19:42:00","2022-09-27 20:32:00",50,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 20:32:00","2022-09-27 19:32:00",-60.0,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 20:32:00","2022-09-27 20:32:00",0,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231399",900.0,"KG","E012209CHG00000691","2022-09-26 22:10:02",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",750.0,"KG","E012209CHG00000683","2022-09-26 21:27:31","R00000000000001","2022-09-26 23:00:00","2022-09-27 19:38:00",1238,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",1050.0,"KG","E012209CHG00000679","2022-09-26 13:23:44",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000678","2022-09-26 13:10:28","RMWH00000000117","2022-09-28 18:14:41","2022-09-30 02:04:28",1909,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000677","2022-09-26 12:59:46",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",717.0,"KG","E012209CHG00000663","2022-09-25 22:26:50","R00000000000001","2022-09-26 22:20:00","2022-09-27 19:38:00",1278,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",735.0,"KG","E012209CHG00000662","2022-09-25 22:25:56","R00000000000001","2022-09-26 10:40:26","2022-09-26 22:20:00",699,"OFF-E0122/00353"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000638","2022-09-25 13:39:40","RPP620900000035","2022-09-26 10:40:53","2022-09-27 19:38:19",1977,"OFF-E0122/00353"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000637","2022-09-25 13:39:06",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000636","2022-09-25 13:38:47","RAPPA0000000137","2022-09-28 18:13:03","2022-09-29 12:44:34",1111,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000635","2022-09-25 13:38:30","RAAOX0000000138","2022-09-28 18:14:07","2022-09-29 12:44:25",1110,"OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",871.0,"KG","E012209CHG00000634","2022-09-25 13:06:55","R00000000000001","2022-09-25 19:34:48","2022-09-26 10:40:19",905,"OFF-E0122/00353"
"Reciclado Elastictek","R00000000000001","LO22070019",735.0,"KG","E012209CHG00000603","2022-09-23 22:52:08",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",735.0,"KG","E012209CHG00000602","2022-09-23 22:46:42","R00000000000001","2022-09-24 08:40:09","2022-09-24 20:00:00",679,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",735.0,"KG","E012209CHG00000601","2022-09-23 22:44:08",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",735.0,"KG","E012209CHG00000600","2022-09-23 22:41:19",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",819.0,"KG","E012209CHG00000599","2022-09-23 22:35:04",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000587","2022-09-23 21:57:32","RPP620900000035","2022-09-25 04:00:14","2022-09-26 10:40:26",1840,"OFF-E0122/00353"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000586","2022-09-23 21:57:11",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000585","2022-09-23 21:56:50","RAPPA0000000137","2022-09-25 03:35:05",NULL,NULL,"OFF-E0122/00353"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000584","2022-09-23 21:56:26","RAAOX0000000138","2022-09-25 03:35:05",NULL,NULL,"OFF-E0122/00353"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",500.0,"KG","E012209CHG00000576","2022-09-23 15:54:34",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",500.0,"KG","E012209CHG00000575","2022-09-23 15:53:49",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",735.0,"KG","E012209CHG00000574","2022-09-23 15:47:42",NULL,NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",739.0,"KG","E012209CHG00000565","2022-09-23 09:26:08","R00000000000001","2022-09-23 22:00:54","2022-09-24 08:40:00",639,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5083",650.0,"KG","E012209CHG00000537","2022-09-21 22:46:51",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000536","2022-09-21 22:22:38",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",100.0,"KG","E012209CHG00000503","2022-09-20 18:11:19",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",50.0,"KG","E012209CHG00000502","2022-09-20 18:06:27",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",50.0,"KG","E012209CHG00000501","2022-09-20 18:05:33",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",200.0,"KG","E012209CHG00000500","2022-09-20 17:58:46",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000499","2022-09-20 17:57:12",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000498","2022-09-20 17:54:41",NULL,NULL,NULL,NULL,NULL
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231392",900.0,"KG","E012209CHG00000482","2022-09-19 22:26:15","RSEBS0000000142","2022-09-20 23:28:04","2022-09-23 15:45:21",3857,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"TPE Cabopol Lacoflex CHM91-0000-50 ","RSEBS0000000139","2219514",900.0,"KG","E012208MLO00000007","2022-09-19 13:32:21",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6202","RVMAX0863000012","VM620222012601AB50257",650.0,"KG","E012208MLO00000002","2022-09-19 13:25:33",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000417","2022-09-17 21:37:23",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000416","2022-09-17 21:36:59","RAPPA0000000137","2022-09-20 16:48:24",NULL,NULL,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000415","2022-09-17 21:36:10",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000384","2022-09-16 21:11:42",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000383","2022-09-16 21:03:04","RMWH00000000117","2022-09-20 16:47:01",NULL,NULL,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000364","2022-09-15 22:22:26",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000363","2022-09-15 22:22:07",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",125.0,"KG","E012209CHG00000355","2022-09-14 22:51:04",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000345","2022-09-14 15:46:18",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000337","2022-09-13 22:01:57",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000336","2022-09-13 22:01:41",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5032",650.0,"KG","E012209CHG00000335","2022-09-13 21:50:39",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000283","2022-09-11 20:37:00",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000282","2022-09-11 20:24:53",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000269","2022-09-11 14:32:54",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000224","2022-09-09 21:53:55",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000223","2022-09-09 21:50:22",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000199","2022-09-09 08:19:22",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000158","2022-09-07 14:03:48",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",50.0,"KG","E012209CHG00000157","2022-09-07 13:17:25",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000097","2022-09-05 07:44:53",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000096","2022-09-05 07:40:22",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000044","2022-09-02 22:33:31",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000042","2022-09-02 22:32:58",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000764","2022-08-31 07:57:27",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000725","2022-08-29 22:37:20",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000702","2022-08-28 22:37:37",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000686","2022-08-28 12:52:44",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000646","2022-08-26 17:14:46",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000645","2022-08-26 17:07:41",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000629","2022-08-25 22:03:21",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000603","2022-08-24 21:45:28",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000592","2022-08-24 18:06:48",NULL,NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",50.0,"KG","E012208CHG00000518","2022-08-21 08:22:26",NULL,NULL,NULL,NULL,NULL
